TokenId,Airdrop receiver,Owner,ProjectId,Is still in airdrop wallet
1922,0x8c8f71d182d2f92794ea2fcbf357814d09d222c3,0x8c8f71d182d2f92794ea2fcbf357814d09d222c3,5,TRUE
1923,0x8c8f71d182d2f92794ea2fcbf357814d09d222c3,0x8c8f71d182d2f92794ea2fcbf357814d09d222c3,5,TRUE
1924,0x8cc9e8478c1738cdaec993a7d3b4177b44dbdfe8,0x8cc9e8478c1738cdaec993a7d3b4177b44dbdfe8,20,TRUE
1925,0x8cc9e8478c1738cdaec993a7d3b4177b44dbdfe8,0x8cc9e8478c1738cdaec993a7d3b4177b44dbdfe8,20,TRUE
1926,0x8cc9e8478c1738cdaec993a7d3b4177b44dbdfe8,0x8cc9e8478c1738cdaec993a7d3b4177b44dbdfe8,2,TRUE
1927,0x8d0c4192efd2d0fd7fb6e99cb7b28ff340ad4083,0x8d0c4192efd2d0fd7fb6e99cb7b28ff340ad4083,1,TRUE
1928,0x8d3559ab31cd39daffd0a3b0923c4db3f937d22b,0x8d3559ab31cd39daffd0a3b0923c4db3f937d22b,20,TRUE
1929,0x8d5055f4dd3dc0ef0e5d79c32d765f2813cb8d6d,0x8d5055f4dd3dc0ef0e5d79c32d765f2813cb8d6d,13,TRUE
1930,0x8d64b9ad24c4b8b0eec76d1673e84ac7e47d580e,0x8d64b9ad24c4b8b0eec76d1673e84ac7e47d580e,20,TRUE
1931,0x8d738f36074c4be1443a1993c32929718ab4b461,0x8d738f36074c4be1443a1993c32929718ab4b461,2,TRUE
1932,0x8d8f4bb1a4d8ebc34470275fbea6a50fe72d84f1,0x8d8f4bb1a4d8ebc34470275fbea6a50fe72d84f1,2,TRUE
1933,0x8db05d58262df4452f95cd6dd1d5e5bb0713c3c1,0x8db05d58262df4452f95cd6dd1d5e5bb0713c3c1,1,TRUE
1934,0x8dbc8cde8090dab72f4b2eeab8f7ffc524709c02,0x8dbc8cde8090dab72f4b2eeab8f7ffc524709c02,1,TRUE
1935,0x8dbc8cde8090dab72f4b2eeab8f7ffc524709c02,0x8dbc8cde8090dab72f4b2eeab8f7ffc524709c02,1,TRUE
1936,0x8dbc8cde8090dab72f4b2eeab8f7ffc524709c02,0x8dbc8cde8090dab72f4b2eeab8f7ffc524709c02,1,TRUE
1937,0x8dc22f2e5d71ee3806cfe3dab6919fdde30bf802,0x8dc22f2e5d71ee3806cfe3dab6919fdde30bf802,10,TRUE
1938,0x8df55ecf2c261b44d079302dc95327fe32f74eed,0x8df55ecf2c261b44d079302dc95327fe32f74eed,10,TRUE
1939,0x8df88d6c716b46753a7dc7bb32580c82300b34c8,0x8df88d6c716b46753a7dc7bb32580c82300b34c8,12,TRUE
1940,0x8e166ebb2dc4686640bc70e47fdea1d2615cc443,0x8e166ebb2dc4686640bc70e47fdea1d2615cc443,0,TRUE
1941,0x8e324177e6e0fae815e85d8567a26d523124ffb6,0x8e324177e6e0fae815e85d8567a26d523124ffb6,19,TRUE
1942,0x8e3c1a1e979cf20fe9bf8e550dca5ed7ce4e10d2,0xaa648ca35f7e56ac452ccbadd097d2a6e1333501,11,FALSE
